Fecha,Hora,Precio_COP_kWh
2021-01-01,1,142.31
2021-01-01,2,142.31
2021-01-01,3,142.31
2021-01-01,4,142.31
2021-01-01,5,142.31
2021-01-01,6,142.31
2021-01-01,7,128.31
2021-01-01,8,128.31
2021-01-01,9,128.31
2021-01-01,10,142.31
2021-01-01,11,142.31
2021-01-01,12,142.31
2021-01-01,13,153.31
2021-01-01,14,153.31
2021-01-01,15,153.31
2021-01-01,16,153.31
2021-01-01,17,153.31
2021-01-01,18,153.31
2021-01-01,19,198.31
2021-01-01,20,199.31
2021-01-01,21,198.31
2021-01-01,22,168.31
2021-01-01,23,153.31
2021-01-01,24,153.31
2021-01-02,1,86.12
2021-01-02,2,85.27
2021-01-02,3,86.12
2021-01-02,4,86.12
2021-01-02,5,86.12
2021-01-02,6,86.12
2021-01-02,7,86.12
2021-01-02,8,90.96
2021-01-02,9,101.96
2021-01-02,10,147.96
2021-01-02,11,147.96
2021-01-02,12,139.96
2021-01-02,13,147.96
2021-01-02,14,147.96
2021-01-02,15,147.96
2021-01-02,16,147.96
2021-01-02,17,147.96
2021-01-02,18,147.96
2021-01-02,19,188.96
2021-01-02,20,188.96
2021-01-02,21,188.96
2021-01-02,22,147.96
2021-01-02,23,147.96
2021-01-02,24,139.96
2021-01-03,1,128.16
2021-01-03,2,128.16
2021-01-03,3,128.16
2021-01-03,4,128.16
2021-01-03,5,128.16
2021-01-03,6,128.16
2021-01-03,7,100.16
2021-01-03,8,100.16
2021-01-03,9,128.16
2021-01-03,10,128.16
2021-01-03,11,128.16
2021-01-03,12,128.16
2021-01-03,13,138.16
2021-01-03,14,138.16
2021-01-03,15,138.16
2021-01-03,16,138.16
2021-01-03,17,138.16
2021-01-03,18,138.16
2021-01-03,19,167.16
2021-01-03,20,199.16
2021-01-03,21,167.16
2021-01-03,22,167.16
2021-01-03,23,167.16
2021-01-03,24,128.16
2021-01-04,1,126.46
2021-01-04,2,126.46
2021-01-04,3,126.46
2021-01-04,4,126.46
2021-01-04,5,126.46
2021-01-04,6,134.18
2021-01-04,7,126.46
2021-01-04,8,143.46
2021-01-04,9,143.46
2021-01-04,10,157.46
2021-01-04,11,157.46
2021-01-04,12,166.46
2021-01-04,13,166.46
2021-01-04,14,166.46
2021-01-04,15,166.46
2021-01-04,16,166.46
