agente,B_C4_remaining,B_fallback,B_P2P_remaining,flexibility_premium,AGRC_compliant
Udenar,42190150.406775996,42190150.406775996,44294707.06690624,2104556.6601302475,True
Mariana,39790401.79514152,39790401.79514152,40242123.42081189,451721.62567037344,True
UCC,37395686.87854802,37395686.87854802,37222432.00965376,-173254.86889425665,True
HUDN,39722555.31355208,39722555.31355208,42175050.51703139,2452495.203479305,True
Cesmag,45074896.56844478,45074896.56844478,45789384.164480306,714487.5960355252,True
