alpha,theta,IE_p2p,IE_C1,IE_C4,gini_p2p,gini_C1,welfare_p2p,welfare_C1,welfare_C4,pof,compute_time
0.1,0.25,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.13
0.1,0.5,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.16
0.1,0.75,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.2
0.1,1.0,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.23
0.15,0.25,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.26
0.15,0.5,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.21
0.15,0.75,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.3
0.15,1.0,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.39
0.2,0.25,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.62
0.2,0.5,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.29
0.2,0.75,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.37
0.2,1.0,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.45
0.25,0.25,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.31
0.25,0.5,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.31
0.25,0.75,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.32
0.25,1.0,0.0,-0.0114602358710309,-0.0114602358710308,0.1342475291883036,0.1342475291883038,211102.21930366784,211102.21930366784,211102.21930366784,0.0,0.22
