agente,ganancia_P2P_COP,ganancia_C1_COP,ganancia_C2_COP,ganancia_C3_COP,ganancia_C4_COP,delta_P2P_C4_COP
Udenar,8117764.714434832,10539298.768286688,8605075.057029704,8227814.259734851,7569034.779425902,548729.93500893
Mariana,12198376.749036083,12007599.785135088,11902774.372544281,11887182.37423797,11880654.036944684,317722.71209139936
UCC,15219747.413562756,14712791.785022564,14576578.3725866,14558303.1876506,14574140.653078193,645606.7604845632
HUDN,10263248.886527216,10310382.675679073,10073771.5583661,10029184.62377398,9988560.2799414,274688.60658581555
Cesmag,6647800.634460484,6491552.986945373,6279246.345956142,6255851.287933993,6275685.975585675,372114.6588748088
