cot_alpha,total_net_benefit,total_savings_G,total_savings_Cvm,total_savings_COT,total_mem_costs,total_savings_ppa,total_grid_cost,delta_vs_alpha1_abs,delta_vs_alpha1_pct
0.0,782111.5185930699,0.0,38072.76613023399,0.0,3584.536199652709,34488.229930581285,3929195.8765461766,-9177.184383928543,-1.1597770004047827
0.25,784405.8146890521,0.0,38072.76613023399,2294.296095982143,3584.536199652709,36782.52602656343,3929195.8765461766,-6882.888287946349,-0.8698327503035798
0.5,786700.1107850343,0.0,38072.76613023399,4588.592191964286,3584.536199652709,39076.82212254556,3929195.8765461766,-4588.592191964155,-0.5798885002023767
0.75,788994.4068810162,0.0,38072.76613023399,6882.888287946427,3584.536199652709,41371.118218527714,3929195.8765461766,-2294.296095982194,-0.28994425010120306
1.0,791288.7029769984,0.0,38072.76613023399,9177.184383928572,3584.536199652709,43665.41431450986,3929195.8765461766,0.0,0.0
1.25,793582.9990729806,0.0,38072.76613023399,11471.480479910717,3584.536199652709,45959.710410492,3929195.8765461766,2294.296095982194,0.28994425010120306
1.5,795877.2951689628,0.0,38072.76613023399,13765.776575892854,3584.536199652709,48254.006506474136,3929195.8765461766,4588.592191964388,0.5798885002024061
2.0,800465.887360927,0.0,38072.76613023399,18354.368767857144,3584.536199652709,52842.59869843842,3929195.8765461766,9177.184383928543,1.1597770004047827
