f,pi_ppa,total_net_benefit,total_savings_gen,total_savings_ppa,total_grid_revenue,gini_net_benefit,nb_prosumer_mean,nb_consumer_mean,delta_nb_vs_f05_pct
0.0,280.0,791288.7029769985,740397.2107801611,50891.49219683744,1.7524870443708096e-12,0.4358668186767062,246799.0702600537,25445.74609841872,1.471211725745045e-14
0.1,303.31856,791288.7029769985,745486.3599998448,45802.342977153705,1.7524870443708096e-12,0.4417890792361868,248495.4533332816,22901.171488576852,1.471211725745045e-14
0.25,338.2964,791288.7029769986,753120.0838293706,38168.61914762808,1.7524870443708096e-12,0.4506724700754084,251040.0279431235,19084.30957381404,2.94242345149009e-14
0.5,396.5928,791288.7029769984,765842.9568785797,25445.74609841872,1.7524870443708096e-12,0.4654781214741109,255280.98562619323,12722.87304920936,0.0
0.75,454.8892,791288.7029769985,778565.8299277892,12722.873049209364,1.7524870443708096e-12,0.480283772872813,259521.94330926306,6361.436524604682,1.471211725745045e-14
0.9,489.86704000000003,791288.7029769986,786199.5537573148,5089.149219683744,1.7524870443708096e-12,0.4891671637120342,262066.51791910492,2544.574609841872,2.94242345149009e-14
1.0,513.1856,791288.7029769985,791288.7029769985,-5.6843418860808015e-12,1.7524870443708096e-12,0.49508942427151553,263762.90099233284,-2.8421709430404007e-12,1.471211725745045e-14
