escenario,ganancia_neta,self_consumption,self_sufficiency,indice_equidad
P2P,149166.3554244701,0.9032746487033139,0.9346750792678475,-0.19833220461794218
C1,110226.34163100296,0.5778404947855829,0.5979278960648478,-1.0
C2,116457.26121845387,0.5778404947855829,0.5979278960648478,-0.8991894959514061
C3,104717.1460149028,0.5778404947855829,0.5979278960648478,-1.0
C4,103895.6403405108,0.5778404947855829,0.5979278960648478,-1.0
