82240.5636164208,81984.06459313488,81727.56556984897,81471.06654656307,81214.56752327718,80958.06849999126,80701.56947670536,80445.07045341947,80188.57143013355,79932.07240684766,79675.57338356174,79419.07436027584,79162.57533698995,78906.07631370403,78649.57729041814,78393.07826713222,78136.57924384632,77880.08022056043,77623.58119727451,77367.08217398862
90448.32706847145,90144.672723893,89841.01837931454,89537.36403473606,89233.70969015762,88930.05534557915,88626.40100100069,88322.74665642223,88019.09231184376,87715.4379672653,87411.78362268684,87108.12927810838,86804.47493352991,86500.82058895146,86197.16624437299,85893.51189979452,85589.85755521608,85286.20321063761,84982.54886605914,84678.89452148067
98857.18452479634,98502.26900093858,98147.35347708083,97792.43795322307,97437.5224293653,97082.60690550755,96727.69138164978,96372.77585779203,96017.86033393428,95662.94481007651,95308.02928621875,94953.11376236098,94598.19823850323,94243.28271464547,93888.36719078771,93533.45166692995,93178.5361430722,92823.62061921443,92468.70509535666,92113.78957149893
106630.92719642613,106225.23828981683,105819.54938320753,105413.86047659823,105008.17156998893,104602.48266337963,104196.79375677032,103791.10485016102,103385.41594355169,102979.72703694241,102574.03813033311,102168.34922372381,101762.6603171145,101356.97141050521,100951.2825038959,100545.5935972866,100139.9046906773,99734.21578406802,99328.5268774587,98922.83797084939
114015.81958311632,113561.62970247566,113107.43982183501,112653.24994119436,112199.06006055369,111744.87017991302,111290.68029927237,110836.49041863171,110382.30053799106,109928.11065735042,109473.92077670977,109019.7308960691,108565.54101542845,108111.35113478781,107657.16125414715,107202.97137350649,106748.78149286583,106294.5916122252,105840.40173158453,105386.21185094387
120137.24420338662,119633.32812905208,119129.41205471753,118625.49598038297,118121.57990604841,117617.66383171387,117113.74775737933,116609.83168304479,116105.91560871023,115601.99953437569,115098.08346004113,114594.16738570658,114090.25131137203,113586.33523703749,113082.41916270295,112578.5030883684,112074.58701403384,111570.6709396993,111066.75486536474,110562.83879103021
126113.54670111537,125559.97990362154,125006.4131061277,124452.84630863389,123899.27951114006,123345.71271364624,122792.14591615241,122238.57911865858,121685.01232116477,121131.44552367093,120577.8787261771,120024.31192868328,119470.74513118944,118917.17833369564,118363.61153620179,117810.04473870798,117256.47794121415,116702.91114372032,116149.34434622651,115595.77754873266
132017.91258184728,131413.7981840457,130809.68378624416,130205.56938844261,129601.45499064108,128997.34059283954,128393.22619503798,127789.11179723642,127184.99739943488,126580.88300163332,125976.76860383176,125372.65420603022,124768.53980822868,124164.42541042712,123560.31101262558,122956.19661482403,122352.08221702249,121747.96781922094,121143.85342141936,120539.73902361785
137441.4634758305,136793.0424628801,136144.62144992972,135496.2004369793,134847.7794240289,134199.3584110785,133550.9373981281,132902.51638517767,132254.09537222725,131605.67435927686,130957.25334632644,130308.83233337603,129660.41132042563,129011.99030747524,128363.56929452482,127715.1482815744,127066.727268624,126418.30625567358,125769.88524272319,125121.46422977277
142189.09703527074,141499.92603594897,140810.7550366272,140121.58403730538,139432.41303798364,138743.24203866185,138054.07103934005,137364.90004001828,136675.7290406965,135986.5580413747,135297.38704205296,134608.21604273113,133919.04504340937,133229.87404408757,132540.7030447658,131851.532045444,131162.36104612224,130473.19004680045,129784.01904747867,129094.84804815688
145381.80355429061,144669.01137165562,143956.2191890206,143243.42700638555,142530.63482375053,141817.8426411155,141105.0504584805,140392.25827584547,139679.46609321042,138966.67391057542,138253.8817279404,137541.08954530538,136828.29736267036,136115.50518003534,135402.71299740032,134689.9208147653,133977.12863213025,133264.33644949525,132551.5442668602,131838.7520842252
148628.01427322233,147889.80701744554,147151.59976166877,146413.392505892,145675.18525011523,144936.97799433843,144198.77073856167,143460.56348278487,142722.35622700813,141984.14897123136,141245.9417154546,140507.7344596778,139769.52720390103,139031.31994812426,138293.11269234747,137554.9054365707,136816.69818079393,136078.49092501716,135340.2836692404,134602.0764134636
151732.60782189076,150971.11507447995,150209.62232706914,149448.12957965836,148686.63683224755,147925.14408483673,147163.65133742592,146402.15859001514,145640.6658426043,144879.1730951935,144117.68034778268,143356.1876003719,142594.69485296108,141833.20210555027,141071.70935813946,140310.21661072865,139548.72386331786,138787.23111590702,138025.73836849624,137264.2456210854
153083.6172381556,152325.20868531233,151566.80013246904,150808.39157962575,150049.98302678246,149291.57447393917,148533.1659210959,147774.75736825264,147016.34881540932,146257.94026256606,145499.53170972277,144741.12315687948,143982.7146040362,143224.30605119292,142465.89749834963,141707.48894550634,140949.08039266305,140190.67183981978,139432.26328697646,138673.8547341332
154757.4200614309,153997.16120886075,153236.9023562906,152476.64350372046,151716.38465115032,150956.12579858018,150195.86694601,149435.60809343986,148675.3492408697,147915.09038829955,147154.8315357294,146394.57268315926,145634.31383058912,144874.05497801895,144113.7961254488,143353.53727287863,142593.2784203085,141833.01956773837,141072.7607151682,140312.50186259806
154366.55710691554,153633.12877513425,152899.70044335295,152166.27211157166,151432.8437797904,150699.4154480091,149965.98711622783,149232.55878444653,148499.13045266524,147765.70212088394,147032.27378910265,146298.84545732138,145565.41712554012,144831.98879375885,144098.56046197753,143365.13213019626,142631.70379841494,141898.27546663367,141164.8471348524,140431.4188030711
155905.73686069663,155168.87569285926,154432.0145250219,153695.15335718455,152958.29218934718,152221.4310215098,151484.56985367247,150747.70868583512,150010.84751799775,149273.98635016038,148537.125182323,147800.26401448564,147063.40284664833,146326.54167881096,145589.6805109736,144852.81934313622,144115.95817529885,143379.0970074615,142642.23583962413,141905.3746717868
156271.87528541728,155548.31556465803,154824.75584389878,154101.1961231395,153377.6364023802,152654.07668162094,151930.51696086166,151206.9572401024,150483.39751934315,149759.83779858387,149036.2780778246,148312.71835706534,147589.15863630606,146865.59891554678,146142.03919478753,145418.47947402825,144694.919753269,143971.3600325097,143247.80031175044,142524.2405909912
158922.28748813702,158175.78047071808,157429.2734532992,156682.76643588027,155936.25941846136,155189.75240104244,154443.24538362355,153696.7383662046,152950.23134878575,152203.72433136683,151457.2173139479,150710.710296529,149964.20327911008,149217.69626169116,148471.18924427227,147724.68222685336,146978.17520943447,146231.66819201552,145485.16117459664,144738.65415717772
159083.47279792122,158349.25085284398,157615.02890776674,156880.80696268953,156146.58501761226,155412.36307253502,154678.1411274578,153943.91918238054,153209.6972373033,152475.4752922261,151741.25334714886,151007.03140207162,150272.80945699438,149538.58751191714,148804.3655668399,148070.14362176266,147335.92167668542,146601.69973160818,145867.47778653092,145133.25584145368
