pgb_COP_kWh,ganancia_P2P_COP,ganancia_C1_COP,ganancia_C2_COP,ganancia_C3_COP,ganancia_C4_COP,ie_p2p,rpe
200.0,53367397.7594551,55155626.42664797,51747919.965369865,51747919.965369865,50980729.030029714,0.36771600026405316,0.04472147471351157
250.0,53184432.084332325,55155626.42664797,51989166.59739261,51989166.59739261,50980729.030029714,0.36771600026405316,0.04143511489994461
280.0,53074652.679258645,55155626.42664797,52133914.57660627,52133914.57660627,50980729.030029714,0.36771600026405316,0.039452423021643764
300.0,53001466.409209535,55155626.42664797,52230413.22941537,52230413.22941537,50980729.030029714,0.36771600026405316,0.038126065486156005
350.0,52818500.73408675,55155626.42664797,52471659.861438125,52471659.861438125,50980729.030029714,0.36771600026405316,0.03479409067874242
400.0,52635535.05896397,55155626.42664797,52712906.49346089,52712906.49346089,50980729.030029714,0.36771600026405316,0.031438951405746894
450.0,52452569.38384119,55155626.42664797,52954153.12548365,52954153.12548365,50980729.030029714,0.36771600026405316,0.028060405259478012
500.0,52269603.708718404,55155626.42664797,53195399.757506415,53195399.757506415,50980729.030029714,0.36771600026405316,0.02465820643812744
