k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
226,4,1,aggregate,25.50509140717795,25.50509140717795,25.50509140717795,0,1,99.99999999999952,2.1857333333333226,25.50509140717795
226,4,1,matrix,25.572302900981963,25.572302900981963,25.572302900981963,0,1,99.99999999999999,2.185733333333333,25.572302900981967
710,1,4,aggregate,74.99995589680857,74.99985943437323,75.00023267646962,0,4,100.00000000000009,0.17493333333333327,74.99995582829136
710,1,4,matrix,74.99996912613447,74.99785553550188,75.00070574875343,0,4,100.00000000000001,0.17493333333333316,74.99996970526374
1887,4,1,aggregate,20.88050711005474,20.88050711005474,20.88050711005474,0,1,84.71468306446387,3.869433333333333,6.604746629649712
1887,4,1,matrix,20.880511445166977,20.880511445166977,20.880511445166977,0,1,84.71468306402853,3.8694333333333337,6.604751746478912
2290,1,4,aggregate,93.75003101877077,75.00012407508311,100.0,3,4,43.9477316722117,1.318366666666667,85.77916310178117
2290,1,4,matrix,93.74961586522046,74.99846346088184,100.0,3,4,43.94674783304012,1.3183666666666658,85.7786490237093
3013,4,1,aggregate,17.243798330833187,17.243798330833187,17.243798330833187,0,1,99.99999999999997,2.655166666666666,17.24379833083319
3013,4,1,matrix,17.317810597332222,17.317810597332222,17.317810597332222,0,1,99.99999999999997,2.6551666666666662,17.317810597332222
3417,4,1,aggregate,19.85540614732009,19.85540614732009,19.85540614732009,0,1,99.99999999999999,1.5726,19.855406147320085
3417,4,1,matrix,19.90331476741249,19.90331476741249,19.90331476741249,0,1,99.99999999999999,1.5725999999999998,19.90331476741249
4233,1,4,aggregate,93.75001153769368,75.00004615077472,100.0,3,4,47.721050321724896,0.36179999999999846,86.90476106348952
4233,1,4,matrix,93.74976267651911,74.99905070607642,100.0,3,4,47.72057553813483,0.36179999999999884,86.90446620754668
5606,2,3,aggregate,89.27982582580017,67.83947747740054,100.0,2,3,99.98467473462156,2.7984666666666693,82.81005623472366
5606,2,3,matrix,85.22001217988768,55.66003653966304,100.0,2,3,95.50597398730599,2.7984666666666684,78.35882589996477
