k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
37,4,1,False,258.52160061999984,3.9015000000000004,99.99171796412843,100.00000000000045,99.99171796412797,3.9015000000000177,89.93165782448432,100.0,89.93165782448432,3.9015000000000004,1.7319479184152442e-14,0.0019363337379731949
663,1,4,False,186.2714981421297,2.255747260192758,60.48264866952041,100.0,60.48264866952041,2.255747260192758,60.578257711428485,100.00000000000439,60.57825771142582,2.255747260192857,0.0,9.903189379656396e-14
1815,1,4,False,386.0958293899693,0.5537805929288142,94.7419148469158,100.0,94.7419148469158,0.5537805929288142,94.76405769279063,100.00000000000098,94.7640576927897,0.5537805929288196,0.0,5.440092820663267e-15
2245,1,4,False,1478.7190811172359,2.1226785210676637,89.36613611454592,99.9999999999999,89.36613611454601,2.1226785210676615,89.74566643884366,99.99999999999979,89.74566643884386,2.1226785210676593,0.0,0.0
2845,1,4,False,5139.9460935407205,8.625805939906027,99.9999903116717,100.00000000000026,99.99999031167144,8.625805939906048,100.01157295466976,100.00000000000138,100.01157295466838,8.625805939906146,2.1316282072803006e-14,0.005345424339520788
3394,1,4,False,621.8221860694314,13.982026491917875,98.83032405317995,100.00000098459611,98.83032308010044,13.982026629584364,,,,,1.3766648976343276e-07,
4092,2,3,False,304.77720651333345,4.480333333333335,99.99472754104971,100.00000000000023,99.99472754104949,4.480333333333345,99.96421742006085,100.00000000000072,99.96421742006012,4.480333333333368,3.8735197716022185e-08,8.171241461241152e-14
5555,1,4,False,176.1739850666665,1.571466666666666,51.485239062316026,100.0,51.485239062316026,1.571466666666666,51.63591516173256,99.99999999999974,51.63591516173269,1.571466666666662,0.0,0.0
