k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
443,4,1,aggregate,18.68918852361482,18.68918852361482,18.68918852361482,0,1,100.00000000000001,9.971133333333334,18.689188523614817
443,4,1,matrix,18.689212708644227,18.689212708644227,18.689212708644227,0,1,100.00000000000001,9.971133333333334,18.689212708644224
1110,1,4,aggregate,74.80078606171553,70.85845203882899,76.11490889210599,0,4,94.82056920555361,0.044641044874388025,74.72899278822632
1110,1,4,matrix,74.80078532981537,70.85849150297071,76.11497033789499,0,4,94.82057969782205,0.044641044874388025,74.7289845210386
2407,3,2,aggregate,46.31026315774466,40.43973371714068,52.18079259834864,0,2,99.99999778620182,0.37969999999999965,44.81551409452412
2407,3,2,matrix,45.02811851005463,35.93911928267506,54.11711773743421,0,2,100.00000839507189,0.3797000000000034,47.342362535641215
3104,2,3,aggregate,68.77989309064758,41.101564796419936,86.95879576460099,0,3,95.03372849091751,4.077726650258614,63.21323927336816
3104,2,3,matrix,65.94298460778153,0.03658935335011393,99.9999999998599,2,3,99.99996142306809,4.07772665025859,99.63266974397588
4020,4,1,aggregate,0.0,0.0,0.0,1,1,81.17635401576842,6.2269655172413945,-23.18858270054276
4020,4,1,matrix,0.0,0.0,0.0,1,1,81.17635401584076,6.2269655172413785,-23.1885827004327
4567,1,4,aggregate,72.1700807114574,64.26161584672207,87.18111390324857,0,4,100.00000015139156,1.2812910344827542,67.45864010904822
4567,1,4,matrix,67.1124081259726,7.681211762844634,100.0,2,4,100.00000015531606,1.281291034482745,87.37309902031303
5168,1,4,aggregate,77.80758103340534,71.46901043710835,79.92297837759772,0,4,92.06973145695096,1.2352333333333334,77.62585022318285
5168,1,4,matrix,77.78651134040669,72.18182234653604,80.71883371776607,0,4,92.17041653837319,1.2352333333333334,77.62038566623144
