k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
347,4,1,aggregate,18.708225218116578,18.708225218116578,18.708225218116578,0,1,100.00000000001475,0.15756666666669006,18.708225218116578
347,4,1,matrix,18.708296511560363,18.708296511560363,18.708296511560363,0,1,100.00000000000003,0.15756666666666688,18.708296511560356
946,3,2,aggregate,44.73097444363604,0.08417611830140374,89.37777276897067,1,2,97.74586418929219,10.706784874712575,27.804151570089793
946,3,2,matrix,41.64075994033703,1.6117381142960032e-10,83.28151988051289,1,2,99.99999999998262,10.706784874712536,83.2815198803163
2074,4,1,aggregate,19.59959940390795,19.59959940390795,19.59959940390795,0,1,99.99999999994442,0.02446666666665304,19.59959940390795
2074,4,1,matrix,19.599653202882955,19.599653202882955,19.599653202882955,0,1,99.99999999999994,0.024466666666666616,19.599653202882955
2935,1,4,aggregate,79.22163639461782,69.25628562582348,89.15812100690552,0,4,98.99249403963354,0.952003428387305,76.75911989577465
2935,1,4,matrix,75.23443915088366,9.277839273320462,100.0,2,4,99.03948954910175,0.9520034283872767,97.19232578579374
3851,2,3,aggregate,64.12592142014773,44.923833136970636,100.0,1,3,99.999999604445,6.911766666666669,53.1292701911632
3851,2,3,matrix,61.60961766157186,1.6500542478793247e-10,100.0,2,3,100.00000104191511,6.911766666666677,80.01572899486422
4398,1,4,aggregate,70.51331662629704,62.83644979242597,73.07232964599558,0,4,89.49391862207848,0.43633333333333246,70.212955188057
4398,1,4,matrix,70.51345067998842,62.833157971985344,73.0758309500221,0,4,89.492946258044,0.43633333333333846,70.21371856593021
4982,4,1,aggregate,18.397533660199176,18.397533660199176,18.397533660199176,0,1,63.137947235124585,5.529866666666667,-29.244725103137593
4982,4,1,matrix,18.397521078042995,18.397521078042995,18.397521078042995,0,1,63.137947235123605,5.529866666666667,-29.24474503118087
6059,4,1,aggregate,21.976239038859156,21.976239038859156,21.976239038859156,0,1,99.99999999999879,3.6803085714285277,21.976239038859152
6059,4,1,matrix,21.97629331861509,21.97629331861509,21.97629331861509,0,1,99.99999999999241,3.6803085714282933,21.976293318615088
