k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
304,1,4,aggregate,93.75003787004765,75.00015148019057,100.0,3,4,75.08549128594888,3.1311955419518354,88.48516490640166
304,1,4,matrix,93.74905456689926,74.99621826759704,100.0,3,4,75.08384256831818,3.1311955419518354,88.48400096604203
946,1,4,aggregate,93.74999755059662,74.99999020238648,100.0,3,4,59.1220607503978,0.4447333333333337,89.42869791393879
946,1,4,matrix,93.74990069375046,74.99960277500183,100.0,3,4,59.12205298654202,0.44473333333333365,89.4285387247758
2029,2,3,aggregate,63.65802486603398,1.8294355746473863e-06,96.38645025658138,1,3,99.99999742178943,13.074601967926142,-7.891467072311103
2029,2,3,matrix,63.495137037334835,1.0235516640958418,100.0,1,3,98.96762124868987,13.074601967926196,99.46989051448469
2363,2,3,aggregate,63.71170559329201,0.6482700165461616,100.0,2,3,99.9999938813957,6.275584212001457,24.21741053430868
2363,2,3,matrix,63.6628703762952,44.577681942009924,100.0,1,3,96.5126212163021,6.275584212001415,99.99999922782764
3086,1,4,aggregate,97.29474577356521,89.17898309426087,100.0,3,4,99.99956064656163,9.807430346626882,97.42954264206955
3086,1,4,matrix,92.83102446730896,71.32409786923586,100.0,3,4,99.993135299915,9.80743034662671,93.19043229424666
3491,1,4,aggregate,93.75000450188111,75.00001800752445,100.0,3,4,47.47774871569456,1.8200149425287375,86.83604349043443
3491,1,4,matrix,93.74989910935932,74.9995964374373,100.0,3,4,47.47756096065724,1.8200149425287364,86.83591062863216
4336,1,4,aggregate,74.9997601260344,74.99975218466476,74.99976605803064,0,4,100.00000000000033,0.6908666666666687,74.99976012600571
4336,1,4,matrix,74.99969369549142,74.99964727552826,74.99975583948253,0,4,100.00000000000009,0.690866666666667,74.99969369576829
6063,1,4,aggregate,74.99998064727026,74.3683438073792,76.89409651129982,0,4,100.00000000000001,1.189233333333333,74.36860864377793
6063,1,4,matrix,74.99998604731114,60.08161538207043,79.97466905332155,0,4,100.0,1.1892333333333327,79.97277681540531
