k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
565,1,4,aggregate,93.74991770623265,74.99967082493058,100.0,3,4,54.274837453095394,1.505130434770984,88.48482066328786
565,1,4,matrix,93.74974425510261,74.99897702041048,100.0,3,4,54.274484281934846,1.5051304347709842,88.48469300814179
1668,2,3,aggregate,60.95677172118901,41.52853829475655,99.79779348366752,1,3,99.99999885422667,8.579194144952952,38.25845852402179
1668,2,3,matrix,60.956771718272016,1.7439154019856314e-10,99.99999999984453,2,3,100.0000003029415,8.579194144952908,99.71116603177508
2175,1,4,aggregate,80.91292415567632,70.85059371426341,84.26720847442597,0,4,93.14370628983966,1.134250167612457,80.4577539687257
2175,1,4,matrix,80.93712922062795,70.33934276517985,84.55482553829027,0,4,93.02307380390646,1.134250167612457,80.56787977257504
2721,1,4,aggregate,80.65724662414327,73.99822904995436,82.87706979010231,0,4,99.99958287925661,4.671215073293278,80.50918460651336
2721,1,4,matrix,75.00000004981585,1.9926340159749728e-07,100.0,4,4,95.73366843991809,4.671215073293284,99.99999999604566
3256,2,3,aggregate,66.66666666557029,66.66662955764771,66.66672674674275,0,3,100.00000046205463,4.62994254040026,34.738825142078966
3256,2,3,matrix,66.66666666547175,66.6658873447578,66.66714799771626,0,3,100.0000007361116,4.629942540400308,34.73882533624563
4041,1,4,aggregate,93.74995559423867,74.99982237695468,100.0,3,4,47.72322214789322,0.5054333333333343,86.9036075344762
4041,1,4,matrix,93.74968930110522,74.99875720442087,100.0,3,4,47.72320195200007,0.5054333333333345,86.90305917843712
5053,1,4,aggregate,93.74991142179906,74.99964568719619,100.0,3,4,50.49215415281479,1.3860333333333312,87.62238748944202
5053,1,4,matrix,93.74950589603273,74.99802358413093,100.0,3,4,50.49143850564741,1.3860333333333323,87.6219457910541
