k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
369,1,4,False,246.36532651859775,3.0713154736727053,66.94394758751994,100.0,66.94394758751994,3.0713154736727053,67.1436734420408,100.00000000001445,67.14367344203109,3.071315473673149,0.0,4.4364512064021255e-13
1334,1,4,False,720.8656403259708,8.778357604139353,65.48856006129861,99.99999999999986,65.4885600612987,8.778357604139341,,,,,0.0,
2099,4,1,False,1710.3886106666669,2.456466666666667,40.05735115022418,100.0,40.05735115022418,2.456466666666667,40.117399894220476,100.00000000000016,40.11739989422041,2.456466666666671,0.0,3.9968028886505635e-15
2506,1,4,False,4701.668847452463,7.615656268579366,99.99991365867591,100.00000000000018,99.99991365867572,7.6156562685793805,100.00655513913262,100.00000000000348,100.00655513912913,7.615656268579631,1.4210854715202004e-14,0.002769576219708636
3179,1,4,False,355.44713799161747,2.7636780655856334,47.47783974207891,99.99999999999999,47.47783974207892,2.763678065585633,47.699007448501334,99.99999999999925,47.699007448501696,2.7636780655856126,0.0,0.0
3829,1,4,False,187.72722454000007,1.5074000000000005,47.723187670692056,100.00000000000001,47.72318767069205,1.5074000000000005,48.047509187463604,99.99999999999991,48.047509187463646,1.5073999999999992,0.0,0.0
4624,1,4,False,28.924323989999962,0.27266666666666506,53.67904428032171,100.0,53.679044280321705,0.27266666666666506,53.9961660301938,99.99999999999831,53.996166030194715,0.27266666666666045,0.0,0.0
