hora,vendedor,comprador,kWh,precio,prima_vendedor,ahorro_comprador,en_piso,en_techo
8,Udenar,Mariana,0.02157349465067305,293.44,0.0,13.358362957750378,True,False
8,HUDN,Mariana,0.14589508099315623,293.44,0.0,90.33860657323625,True,False
8,Udenar,UCC,0.016607939744466053,389.35491557114204,1.5929491384010759,8.690729545993442,False,False
8,HUDN,UCC,0.11231452082216495,389.35491557114204,10.772637782071227,58.772800213134815,False,False
8,Udenar,Cesmag,0.015830520125602737,912.6425526719022,9.802298471897135,0.0,False,True
8,HUDN,Cesmag,0.10705706485133996,912.6425526719022,66.29000783751108,0.0,False,True
9,Udenar,UCC,0.06642365598603799,912.6425526719022,41.129697344354994,0.0,False,True
9,Mariana,UCC,0.06642748531853863,912.6425526719022,41.132068476814425,0.0,False,True
9,HUDN,UCC,0.06642481811531296,912.6425526719022,41.130416937768594,0.0,False,True
9,Udenar,Cesmag,0.7285008767000499,293.44,0.0,451.08960247638953,True,False
9,Mariana,Cesmag,0.7285428748714633,293.44,0.0,451.1156078513363,True,False
9,HUDN,Cesmag,0.7285136223419666,293.44,0.0,451.0974946103998,True,False
10,Udenar,Cesmag,1.5249288994213328,233.44,0.0,1035.7356011301235,True,False
10,Mariana,Cesmag,1.52485281245396,233.44,0.0,1035.6839226676589,True,False
10,UCC,Cesmag,0.4353395112067799,233.44,0.0,295.6837072905831,True,False
10,HUDN,Cesmag,1.524912110251205,233.44,0.0,1035.7241978829156,True,False
11,Udenar,Cesmag,1.4810003005576142,293.44,0.0,917.039166613129,True,False
11,Mariana,Cesmag,1.4809529586077725,293.44,0.0,917.0098523569386,True,False
11,UCC,Cesmag,1.2922501160895061,293.44,0.0,800.164570573184,True,False
11,HUDN,Cesmag,1.4809632914118525,293.44,0.0,917.0162504556012,True,False
12,Udenar,UCC,0.37416611891233265,912.6425526719022,231.68461595385486,0.0,False,True
12,Mariana,UCC,0.022045235919452687,912.6425526719022,13.650466355579411,0.0,False,True
12,HUDN,UCC,0.3741789119181594,912.6425526719022,231.69253741571913,0.0,False,True
12,Udenar,Cesmag,1.4360262081295254,293.44,0.0,889.1910937775543,True,False
12,Mariana,Cesmag,0.08460821823407573,293.44,0.0,52.38962470756107,True,False
12,HUDN,Cesmag,1.4360753068864878,293.44,0.0,889.2214958531985,True,False
13,Udenar,Cesmag,0.8542466123395291,293.44,0.0,528.9516829719613,True,False
13,Mariana,Cesmag,0.854245273364129,293.44,0.0,528.9508538749756,True,False
13,UCC,Cesmag,0.854242408323444,293.44,0.0,528.9490798344699,True,False
13,HUDN,Cesmag,0.8542323726395639,293.44,0.0,528.9428657133935,True,False
14,Udenar,Cesmag,1.0720781853416277,293.44,0.0,663.8335490273964,True,False
14,Mariana,Cesmag,1.0720756302860959,293.44,0.0,663.831966930489,True,False
14,UCC,Cesmag,1.0720549420320213,293.44,0.0,663.8191567107557,True,False
14,HUDN,Cesmag,1.0720579090069051,293.44,0.0,663.8209938691774,True,False
15,Udenar,Cesmag,1.826641256925265,293.44,0.0,1131.060929103936,True,False
15,Mariana,Cesmag,1.7109896102673905,293.44,0.0,1059.4491342726712,True,False
15,UCC,Cesmag,0.0439049831596333,293.44,0.0,27.186077647461815,True,False
15,HUDN,Cesmag,1.0554974829810393,293.44,0.0,653.5667358006272,True,False
16,Udenar,UCC,0.23089144344214727,912.6425526719022,142.9685711694777,0.0,False,True
16,Mariana,UCC,0.2308525373310425,912.6425526719022,142.9444804061671,0.0,False,True
16,HUDN,UCC,0.23087618106883256,912.6425526719022,142.95912066896142,0.0,False,True
16,Udenar,Cesmag,0.9834479647135299,293.44,0.0,608.9534901706045,True,False
16,Mariana,Cesmag,0.9832822498864302,293.44,0.0,608.8508791266487,True,False
16,HUDN,Cesmag,0.9833829568911906,293.44,0.0,608.9132371610683,True,False
31,Udenar,Mariana,0.10095519233841223,204.65,0.0,71.47552432915533,True,False
31,Udenar,UCC,0.07205421892758807,882.0691928893285,48.810910830197685,2.20293955912548,False,False
31,Udenar,HUDN,0.1012127550789462,204.65,0.0,71.65787683129915,True,False
31,Udenar,Cesmag,0.07205398552114942,882.1479440006727,48.81642704763297,2.1972580916698847,False,False
32,Udenar,UCC,0.7712299966390846,912.6425526716977,546.0250940174903,1.577339803536362e-10,False,True
32,Mariana,UCC,0.30595477075371286,912.6425526716977,216.61369914800525,6.257467164072402e-11,False,True
32,HUDN,UCC,1.340556328104418,912.6425526716977,949.1038967348447,2.7417409390407646e-10,False,True
32,Udenar,Cesmag,0.9876528039523065,204.65,0.0,699.2508298237552,True,False
32,Mariana,Cesmag,0.39181189592364135,204.65,0.0,277.39990436219654,True,False
32,HUDN,Cesmag,1.716743671898786,204.65,0.0,1215.4417345509562,True,False
34,Udenar,UCC,1.0008673885367214,912.6425526719022,708.6066572961739,0.0,False,True
34,Mariana,UCC,0.5244855879819054,912.6425526719022,371.33189027493273,0.0,False,True
34,HUDN,UCC,0.769247662307089,912.6425526719022,544.6216160736893,0.0,False,True
34,Udenar,Cesmag,2.9610225328434097,204.65,0.0,2096.381901546827,True,False
34,Mariana,Cesmag,1.5516677453514869,204.65,0.0,1098.5692079300543,True,False
34,HUDN,Cesmag,2.2757856710262834,204.65,0.0,1611.2393065640363,True,False
35,Udenar,Cesmag,3.568820737246618,912.6425526719022,2526.6985037916534,0.0,False,True
35,Mariana,Cesmag,3.568663978976219,912.6425526719022,2526.587520103641,0.0,False,True
35,UCC,Cesmag,1.6773125299630538,912.6425526719022,1187.524779717109,0.0,False,True
35,HUDN,Cesmag,3.568802753814099,912.6425526719022,2526.685771655358,0.0,False,True
36,Udenar,UCC,0.28640892377765764,912.6425526719022,202.7753850533561,0.0,False,True
36,Mariana,UCC,0.2915483649051856,912.6425526719022,206.4140710965416,0.0,False,True
36,HUDN,UCC,0.3572854819448652,912.6425526719022,252.95546039475593,0.0,False,True
36,Udenar,Cesmag,2.607438371399458,204.65,0.0,1846.0469485017697,True,False
36,Mariana,Cesmag,2.6542273394508396,204.65,0.0,1879.1731894293514,True,False
36,HUDN,Cesmag,3.2526915185219947,204.65,0.0,2302.881371252633,True,False
37,Udenar,Cesmag,0.8188855884434036,204.65,0.0,579.7648981082781,True,False
37,Mariana,Cesmag,0.818872155660797,204.65,0.0,579.7553877982309,True,False
37,UCC,Cesmag,0.8188599823954741,204.65,0.0,579.7467692170407,True,False
37,HUDN,Cesmag,0.818882273500332,204.65,0.0,579.7625511532709,True,False
38,Udenar,Cesmag,1.4169599848288623,912.642304825332,964.6554539169085,0.0003511886723964839,False,False
38,Mariana,Cesmag,1.4168733143046706,912.642304825332,964.5964492909836,0.0003511671914043228,False,False
38,UCC,Cesmag,0.8796212664136888,912.642304825332,598.8393893351525,0.0002180111139841731,False,False
38,HUDN,Cesmag,1.4169454344528687,912.642304825332,964.6455481328998,0.0003511850661356983,False,False
39,Udenar,UCC,0.9147143577257357,295.65,0.0,564.3719465388413,True,False
39,Mariana,UCC,0.5143883219454785,295.65,0.0,317.373763821757,True,False
39,HUDN,UCC,1.5023832977983336,295.65,0.0,926.9593060002245,True,False
39,Udenar,Cesmag,0.9147143991618577,295.65,0.0,564.3719721046199,True,False
39,Mariana,Cesmag,0.5143883452473277,295.65,0.0,317.3737781988244,True,False
39,HUDN,Cesmag,1.5023833658529369,295.65,0.0,926.9593479894079,True,False
40,Udenar,Mariana,0.017189504163299233,295.65,0.0,10.605796052878285,True,False
