k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
463,2,3,aggregate,64.95550991252631,42.68370571104235,93.87692343510939,0,3,99.9999308229024,3.1334812907481995,56.108083530254696
463,2,3,matrix,61.1897033283757,9.67461345547877,100.0,1,3,96.53820255754368,3.1334812907482053,99.99278132158265
1120,2,3,aggregate,63.42552915841543,43.509790754671634,100.0,1,3,96.35377317102055,3.7219127151055242,47.565763142071866
1120,2,3,matrix,62.86761145538845,4.099660993181823e-10,99.84237829020398,2,3,98.15210617971681,3.7219127151055136,97.05593371537658
2464,2,3,aggregate,67.19305387439222,46.295494709116376,100.0,1,3,94.4340278858762,3.5550676270927237,56.937803938510605
2464,2,3,matrix,62.52663813742111,1.7439923095185068e-10,100.0,2,3,94.89827640772243,3.5550676270927752,93.7873914834374
3136,2,3,aggregate,63.07626929935829,56.761859861474825,66.23350566906468,0,3,90.46649263476667,0.13672309162937757,62.743537286278624
3136,2,3,matrix,63.076254950801506,56.76211794424499,66.23375390231054,0,3,90.46663887958853,0.13672309162937757,62.74343588401592
4089,4,1,aggregate,0.0,0.0,0.0,1,1,80.85675585138607,0.21320000000000028,-23.67550360763797
4089,4,1,matrix,0.0,0.0,0.0,1,1,80.85675585140541,0.21320000000000028,-23.67550360760838
4691,4,1,aggregate,20.06675892208256,20.06675892208256,20.06675892208256,0,1,58.2111527681745,1.5666333333333342,-37.316024982791554
4691,4,1,matrix,20.066780558786764,20.066780558786764,20.066780558786764,0,1,58.21115276820001,1.5666333333333338,-37.315987813386336
5217,4,1,aggregate,20.54047161982205,20.54047161982205,20.54047161982205,0,1,100.00000000000001,9.757433333333333,20.54047161982205
5217,4,1,matrix,20.54047541673537,20.54047541673537,20.54047541673537,0,1,100.00000000000001,9.757433333333335,20.54047541673537
