k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
328,4,1,aggregate,18.65112861151244,18.65112861151244,18.65112861151244,0,1,100.0,0.7835333333333335,18.65112861151244
328,4,1,matrix,18.651082214361598,18.651082214361598,18.651082214361598,0,1,100.00000000000003,0.7835333333333335,18.651082214361598
872,3,2,aggregate,44.183588802545856,30.556508685977736,57.81066891911397,0,2,99.99999843770388,0.8285666666666444,36.229843033139446
872,3,2,matrix,42.211123050991006,0.20530598153833302,84.21694012044368,1,2,100.00000483926257,0.8285666666666746,66.72881863091447
2073,4,1,aggregate,19.584547019643058,19.584547019643058,19.584547019643058,0,1,100.0,0.012766666666666815,19.58454701964306
2073,4,1,matrix,19.584500776599473,19.584500776599473,19.584500776599473,0,1,99.99999999999562,0.012766666666666255,19.584500776599477
2914,3,2,aggregate,43.15281835050515,11.481632983238294,74.82400371777202,0,2,69.63677427239604,2.437923931623949,-6.5814036601181085
2914,3,2,matrix,48.59282765414344,1.4090474666661714e-10,97.18565530814597,1,2,69.63676790602861,2.437923931623933,64.45499982877162
3801,1,4,aggregate,79.03896970294029,71.43396295166391,81.57400589562633,0,4,90.67717802883782,1.7927,78.77835865432957
3801,1,4,matrix,79.0324229992479,71.61844368157007,81.63447824179093,0,4,90.7026971230793,1.7927,78.75738940737713
4382,2,3,aggregate,48.16038650562604,35.73697210117495,59.70194837727202,0,3,99.99999999999932,1.8884333333333199,43.98487835402564
4382,2,3,matrix,48.16038650562389,14.570724219429113,99.99991990606894,1,3,99.99999999999937,1.8884333333333216,99.99857152004054
4978,4,1,aggregate,19.957314440498223,19.957314440498223,19.957314440498223,0,1,58.22351091287117,5.894066666666669,-37.474852176609595
4978,4,1,matrix,19.957336090347574,19.957336090347574,19.957336090347574,0,1,58.22351091287724,5.8940666666666655,-37.47481499256248
6035,4,1,aggregate,20.89337198843061,20.89337198843061,20.89337198843061,0,1,99.99999999999842,3.680308571428514,20.893371988430612
6035,4,1,matrix,20.893226849655868,20.893226849655868,20.893226849655868,0,1,99.99999999999962,3.6803085714285575,20.893226849655868
