k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
273,2,3,aggregate,66.6666666648873,59.43725807867569,81.12519703476441,0,3,100.00000150560447,11.206588334592055,15.58534524677369
273,2,3,matrix,66.6666666648974,0.7273592619442913,99.64082098316925,3,3,99.99999959299913,11.20658833459201,78.49221874996488
874,1,4,aggregate,94.55859466787994,78.23437867151979,100.0,3,4,99.99866750432706,8.38544001139841,92.81779224280704
874,1,4,matrix,84.32740229250828,64.95343570835837,100.0,2,4,97.99289402227497,8.385440011398348,89.79568108896231
1908,2,3,aggregate,63.08275783730076,43.00046861546866,100.0,1,3,99.43555505704083,4.72056510346521,45.78766681706997
1908,2,3,matrix,61.57657481039198,1.54406208561866e-10,100.0,2,3,98.39276711165927,4.72056510346521,94.48452850271894
2315,1,4,aggregate,80.80065355316182,70.6960881228564,84.17015091942008,0,4,87.9951852119464,0.7843640581130016,80.3412005991545
2315,1,4,matrix,80.7978840011063,70.75422127784469,84.28222616732319,0,4,88.01108794729704,0.7843640581130017,80.32809116437143
3034,1,4,aggregate,93.7499817719139,74.99992708765555,100.0,3,4,62.79400418600668,5.558396430522534,86.83589774344948
3034,1,4,matrix,93.7504237856861,75.00169514274437,100.0,3,4,62.79490452703082,5.558396430522517,86.83650565200573
3418,4,1,aggregate,18.013492595943642,18.013492595943642,18.013492595943642,0,1,100.00000000000001,2.3259333333333343,18.013492595943642
3418,4,1,matrix,18.07863346754155,18.07863346754155,18.07863346754155,0,1,100.00000000000003,2.3259333333333347,18.078633467541554
4261,2,3,aggregate,89.33998476053482,68.01995428160447,100.0,2,3,99.99999932120764,5.517300000000023,80.95616861828299
4261,2,3,matrix,87.68805683363375,63.06417050090126,100.0,2,3,99.99999998510764,5.517300000000014,78.00504346680822
5749,1,4,aggregate,93.74990137571577,74.99960550286305,100.0,3,4,50.80630876475153,1.0698333333333332,87.69889559495613
5749,1,4,matrix,93.74971301755592,74.9988520702237,100.0,3,4,50.80579043335893,1.0698333333333334,87.69878825540567
