hora,vendedor,comprador,kWh,precio,prima_vendedor,ahorro_comprador,en_piso,en_techo
349,Udenar,UCC,5.905275770971515,114.42,0.0,4136.586624807836,True,False
349,Mariana,UCC,0.4270551112408812,114.42,0.0,299.14783487312485,True,False
349,Udenar,HUDN,1.8312893584136072,814.91,1282.7998826751477,0.0,False,True
349,Mariana,HUDN,0.13243437072255573,814.91,92.76895234744306,0.0,False,True
349,Udenar,Cesmag,0.8717641311516078,814.91,610.6620562303898,0.0,False,True
349,Mariana,Cesmag,0.06304385137011828,814.91,44.16158744625415,0.0,False,True
350,Udenar,Mariana,0.984093151983823,814.91,689.3474120331482,0.0,False,True
350,Udenar,UCC,1.72477260223109,114.42,0.0,1208.1859601368562,True,False
350,Udenar,HUDN,1.7246839358935746,114.42,0.0,1208.12385025409,True,False
350,Udenar,Cesmag,1.7239185446028251,114.42,0.0,1207.587701308833,True,False
372,Udenar,Mariana,0.15409788265571947,173.3936029246038,9.221772501171069,98.85631847824433,False,False
372,Udenar,UCC,0.11235023386098643,814.91,78.79796002074144,0.0,False,True
372,Udenar,HUDN,0.11245054540772687,814.91,78.86831452716332,0.0,False,True
372,Udenar,Cesmag,0.1540755951973969,194.31466893480652,12.443864437051026,95.61859501059526,False,False
373,Udenar,Mariana,2.6250029164120368,113.58,0.0,1840.9932953672535,True,False
373,Cesmag,Mariana,0.30642117944622965,113.58,0.0,214.90236578102423,True,False
373,Udenar,UCC,1.8490967665493787,814.9099999996398,1296.8270352834097,6.659705100478768e-10,False,True
373,Cesmag,UCC,0.21584829886709514,814.9099999996398,151.38088744438207,7.773990214570374e-11,False,True
373,Udenar,HUDN,1.848960985541013,814.9099999999999,1296.7318079894783,2.1020252751680038e-13,False,True
373,Cesmag,HUDN,0.21583244891234457,814.9099999999999,151.36977139569458,2.45373085945567e-14,False,True
375,Udenar,Mariana,2.2058537579454196,129.58,0.0,1511.7377559327342,True,False
375,Udenar,UCC,1.7183091175473153,814.9099999998493,1177.6087875284427,2.5883759698788174e-10,False,True
375,Udenar,HUDN,1.7182163564521904,814.9099999999997,1177.545215567379,3.9067716817321307e-13,False,True
375,Udenar,Cesmag,2.4160657280483306,129.58,0.0,1655.8023254033624,True,False
392,Udenar,Mariana,0.4702398039972635,814.91,332.3843030574257,0.0,False,True
392,Udenar,UCC,0.4702409051448376,814.91,332.385081392577,0.0,False,True
392,Udenar,HUDN,0.6695865882327664,108.07,0.0,473.2905840264485,True,False
392,Udenar,Cesmag,0.669525041077407,108.07,0.0,473.2470800351543,True,False
393,Udenar,Mariana,0.5257582982165797,110.87,0.0,370.15487227640074,True,False
393,Udenar,UCC,0.36975404107920934,814.91,260.32163508140655,0.0,False,True
393,Udenar,HUDN,0.36975019260206954,814.91,260.318925599561,0.0,False,True
