hora,I,horizonte,exito,converge,segundos,razon_cola,dentro_aco,fallo,muro_s
345,4,0.01,True,True,0.318706750869751,4.892789211959357e-07,4,,40.02901816368103
348,3,0.01,True,False,14.539233922958374,0.057629982650245395,3,,40.02901816368103
367,4,0.01,True,True,0.3123190402984619,1.4972161362426018e-06,4,,40.02901816368103
537,4,0.01,True,True,0.4171724319458008,5.940517357044343e-07,4,,40.02901816368103
875,4,0.01,True,False,9.79207730293274,0.06453429388795304,4,,40.02901816368103
972,4,0.01,True,True,0.3641378879547119,3.3695867950656416e-06,4,,40.02901816368103
2030,3,0.01,True,False,11.81130051612854,0.018757938898586044,3,,40.02901816368103
2216,3,0.01,True,False,20.397368669509888,0.0500392381771003,3,,40.02901816368103
2222,3,0.01,True,False,12.44808316230774,0.07373967534338859,3,,40.02901816368103
2290,4,0.01,True,True,0.3955874443054199,1.7567359475577533e-06,4,,40.02901816368103
2484,4,0.01,True,True,0.4196760654449463,1.9445322847011675e-06,4,,40.02901816368103
2533,4,0.01,True,True,0.3413841724395752,1.6387144658451414e-05,4,,40.02901816368103
2560,4,0.01,True,True,0.48531436920166016,2.4294129468704256e-06,4,,40.02901816368103
3082,2,0.01,True,False,23.677640438079834,0.019894631809687934,2,,40.02901816368103
3299,4,0.01,True,False,2.1614201068878174,0.012414805590869611,4,,40.02901816368103
3445,3,0.01,True,True,9.215807676315308,3.4193083083971653e-07,3,,40.02901816368103
3564,3,0.01,True,False,13.964064121246338,0.05494679730686821,3,,40.02901816368103
3758,4,0.01,True,False,1.993138313293457,0.01438163988510339,4,,40.02901816368103
3805,4,0.01,True,True,0.3364574909210205,4.679712420986278e-07,4,,40.02901816368103
4047,4,0.01,True,True,0.32022881507873535,1.5952440032087825e-07,4,,40.02901816368103
4572,2,0.01,True,False,20.514403343200684,0.026836354212536898,2,,40.02901816368103
4619,3,0.01,True,True,9.722059965133667,6.824056172674343e-06,3,,40.02901816368103
5604,4,0.01,True,False,10.674747467041016,0.06810087030539488,4,,40.02901816368103
5893,1,0.01,True,True,15.769936561584473,3.286791182757222e-08,0,,40.02901816368103
