k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
443,1,4,aggregate,92.78094211157507,71.12376844630029,100.0,3,4,61.03277750753026,5.894068688424275,82.9277943893801
443,1,4,matrix,82.59179922925537,32.39708116207972,100.0,2,4,61.270937047930055,5.894068688424273,98.51834647248864
1477,1,4,aggregate,75.1522573253125,66.59266690098863,90.70987242334311,0,4,94.95894970334648,3.197604909183781,72.76442769023129
1477,1,4,matrix,73.629028605126,4.5645494282347976e-05,100.0,3,4,95.26965727179387,3.1976049091836947,98.09923496205525
2149,1,4,aggregate,80.108081134924,75.93891931693577,92.61221723435595,0,4,99.99995412996273,4.416118474875981,77.83961642779745
2149,1,4,matrix,75.00000000098287,3.931489202176129e-09,100.0,4,4,98.20291330234762,4.416118474875879,99.99999999998752
2556,2,3,aggregate,60.85920504613279,41.94052301343935,98.69316268893807,0,3,99.99999898699684,8.328357132899963,28.21289105539128
2556,2,3,matrix,60.859205046076866,1.668769446851996e-10,99.99999999983315,2,3,99.99999778102561,8.328357132899992,92.65172915736579
3225,2,3,aggregate,66.6666666661949,66.6663208457722,66.66720491526591,0,3,100.00000036829668,7.1996433912518984,28.07226460440209
3225,2,3,matrix,66.66639113754242,66.65704159937903,66.67239815382717,0,3,100.00000026158446,7.19964339125196,28.071671862709238
3922,2,3,aggregate,88.8888518034661,66.66655541039827,100.0,2,3,57.104463282746266,1.7664333333333384,79.2436320098809
3922,2,3,matrix,88.88938692086855,66.66816076260564,100.0,2,3,57.105482832869775,1.7664333333332822,79.24414843300409
4931,1,4,aggregate,93.36317882450011,73.45271529800041,100.0,3,4,85.95616026872379,3.7991666666665607,84.88480147617985
4931,1,4,matrix,95.90231499170223,89.310012025138,100.0,2,4,86.24128036553331,3.799166666666668,93.66251104014832
