k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
345,1,4,aggregate,93.74999630683253,74.99998522733013,100.0,3,4,54.27543046153025,2.410906680619652,88.48464325726478
345,1,4,matrix,93.74999739275688,74.99998957102753,100.0,3,4,54.275445376841716,2.410906680619644,88.48463715366424
1261,1,4,aggregate,93.74986707739251,74.99946830957003,100.0,3,4,59.12218114136113,1.7078538802694538,89.42840535339376
1261,1,4,matrix,93.75002085213545,75.00008340854181,100.0,3,4,59.122206847277596,1.7078538802694543,89.42865010412218
2096,1,4,aggregate,75.22582806821613,71.19453552842275,76.5704923603095,0,4,98.16985854856694,4.54112429674837,75.15115559883725
2096,1,4,matrix,71.33540257451656,7.762338165554277,100.0,2,4,96.66856643627247,4.541124296748363,98.94583513201455
2504,1,4,aggregate,81.15242931992103,71.17779354458614,84.47731142293792,0,4,92.4866655179728,2.279592338452264,80.70702290017906
2504,1,4,matrix,81.46122214305572,64.56733745256767,87.37733155714025,0,4,91.5223098268658,2.279592338452263,82.14844096483979
3130,1,4,aggregate,93.74999695514279,74.99998782057118,100.0,3,4,47.47791065273644,2.016000000000002,86.83595073217063
3130,1,4,matrix,93.75002566418932,75.00010265675726,100.0,3,4,47.47796987765559,2.016000000000002,86.83598308979137
3759,1,4,aggregate,93.75000085449923,75.00000341799695,100.0,3,4,47.72300421727036,0.3045666666666662,86.90380635648704
3759,1,4,matrix,93.7499740243335,74.99989609733395,100.0,3,4,47.7229538074655,0.30456666666666615,86.90377418953828
4572,3,2,aggregate,49.99999999935796,26.294045959923896,73.70595403879202,0,2,99.99999994351316,6.149199999999976,-24.027185551818665
4572,3,2,matrix,49.99999999817255,0.04981326129010514,99.95018673505498,2,2,100.00000186501448,6.149200000000022,99.85600460833366
