k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
227,4,1,aggregate,19.357311230794323,19.357311230794323,19.357311230794323,0,1,99.99999999999989,0.3938666666666664,19.357311230794327
227,4,1,matrix,19.357301935912517,19.357301935912517,19.357301935912517,0,1,99.99999999945385,0.39386666666451586,19.35730193591252
803,2,3,aggregate,65.26446268131536,5.565454804266022,100.0,1,3,96.97912370336222,6.748045687735768,42.82500150511088
803,2,3,matrix,63.22963099879731,24.31809176100814,99.99999999985023,1,3,99.99998557077255,6.748045687735775,99.99993260097739
1976,2,3,aggregate,61.26689626088252,37.538995062537836,90.58584260806023,0,3,100.00000000000297,2.9447332589967528,48.26959508754023
1976,2,3,matrix,61.266896260879975,3.259843996425283e-05,99.997804339559,2,3,100.0000000000009,2.944733258996692,87.09920503206266
2868,4,1,aggregate,21.90311216584489,21.90311216584489,21.90311216584489,0,1,27.264879767518384,0.7643666666575599,-186.43767549734176
2868,4,1,matrix,21.903143020600275,21.903143020600275,21.903143020600275,0,1,27.26487976715868,0.7643666666666667,-186.43756233786755
3776,2,3,aggregate,69.24066119128295,9.480605342223782,100.0,1,3,99.99999640508914,2.9823999999999993,28.591752921439884
3776,2,3,matrix,65.53986312775388,12.939916864017093,99.99999999985523,1,3,100.00000176089857,2.9824,90.43979625206352
4377,2,3,aggregate,50.607726691891294,50.607647403197916,50.60781784329447,0,3,100.0000000000001,0.5972333333333338,50.607726691748304
4377,2,3,matrix,50.6077266918887,50.604995143792934,50.61010286703619,0,3,99.9999999999999,0.5972333333333325,50.607727014298
4927,3,2,aggregate,44.13549020546509,43.626935397047966,44.644045013882206,0,2,40.740081224912664,0.8391000000000008,-37.2197935590369
4927,3,2,matrix,46.059420307815486,13.447128927434262,78.67171168819671,0,2,40.74007521978082,0.8390999999999839,-26.271445669412618
5726,3,2,aggregate,40.06165035816728,23.886851308085333,56.23644940824922,0,2,95.0681130225188,3.5006833333333285,36.531374772831455
5726,3,2,matrix,36.76700235910928,1.8044308365371975e-10,73.53400471803812,1,2,99.99999994224875,3.5006833333333347,73.5340043980711
