k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
325,1,4,aggregate,92.90956828931255,71.63827315725021,100.0,3,4,99.99999998691156,6.978533333333328,84.02759843094829
325,1,4,matrix,90.46196662709487,63.30608026326119,100.0,2,4,99.99999971200565,6.978533333333327,97.64551468799876
1141,2,3,aggregate,88.88893277031545,66.66679831094633,100.0,2,3,65.29046178440703,6.828571679387127,82.54744984804593
1141,2,3,matrix,88.88805890994416,66.66417672983252,100.0,2,3,65.28971065707772,6.828571679387116,82.54658008919799
2080,1,4,aggregate,75.2942444094132,71.26971955077217,76.63704319062471,0,4,99.01804672570161,5.38703575448558,75.21989058394786
2080,1,4,matrix,71.54488326528433,15.484081502531016,100.0,2,4,97.26170459838747,5.387035754485564,99.68429587309302
2390,2,3,aggregate,66.64988908305965,66.26864545864842,66.86124522357379,0,3,100.00053130717852,7.822508227993603,66.36427179825976
2390,2,3,matrix,66.13469924567258,65.16017108903021,67.89163921460553,0,3,100.00052949394494,7.822508086154011,67.45099062741139
3111,1,4,aggregate,93.74997318023502,74.99989272094007,100.0,3,4,47.477913727890495,1.346800000000002,86.83589919673024
3111,1,4,matrix,93.74993486026051,74.99973944104204,100.0,3,4,47.477952342928695,1.346800000000002,86.83580015674971
3733,1,4,aggregate,93.47855062652796,73.91420250611182,100.0,3,4,83.5948801484219,4.133066666666667,85.2029941576453
3733,1,4,matrix,96.57904150014845,86.31616600059382,100.0,3,4,87.09903967645708,4.1330666666666644,91.7603875471619
4404,1,4,aggregate,74.99998606119101,74.99992026959332,75.00006086505203,0,4,100.00000000000004,1.5000666666666667,74.99998606002175
4404,1,4,matrix,74.99973839566292,74.99909785912503,75.00030176005824,0,4,100.0,1.5000666666666662,74.99973841111289
6108,2,3,aggregate,91.27795699087498,73.83387097262494,100.0,2,3,99.99787086441887,4.2022666666667,93.01976334973631
6108,2,3,matrix,71.71172735853311,15.135182075599337,100.0,2,3,90.31832462546552,4.202266666666738,89.01697191080025
