k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
273,2,3,False,560.8018133221098,11.206588334592025,100.00000150560447,100.00000000000028,100.0000015056042,11.206588334592055,99.99988500451903,99.99999999999882,99.99988500452021,11.206588334591894,1.1146314693455395e-07,0.0004493320126428557
874,1,4,False,392.96370585674833,8.385440011398343,99.99866750432706,100.00000000000081,99.99866750432625,8.38544001139841,100.07304522394668,99.99999999999972,100.07304522394695,8.385440011398318,6.750155989720952e-14,0.006234171798944477
1908,2,3,False,3160.416448408633,4.720565103465212,99.43555505704083,99.99999999999996,99.43555505704087,4.72056510346521,99.42751076627401,99.9999999999996,99.42751076627441,4.720565103465193,0.0,0.01043691679546549
2315,1,4,False,545.3134241219021,0.7843640581130016,87.9951852119464,100.0,87.9951852119464,0.7843640581130016,87.9018198205114,100.00000000000333,87.90181982050849,0.7843640581130276,0.0,2.5979218776228663e-14
3034,1,4,False,540.51893698354,5.5583964305225155,62.79400418600668,100.00000000000034,62.79400418600647,5.558396430522534,62.794061835332634,99.99999999999928,62.794061835333096,5.558396430522476,1.865174681370263e-14,0.0
3418,4,1,True,299.14712454666665,2.325933333333334,100.00000000000001,100.00000000000001,100.0,2.3259333333333343,100.00000000000064,100.00000000000063,100.00000000000003,2.3259333333333485,4.440892098500626e-16,1.4654943925052066e-14
4261,2,3,False,355.90330123000007,5.517300000000001,99.99999932120764,100.00000000000038,99.99999932120726,5.517300000000023,99.99971244782321,100.00000000000045,99.99971244782276,5.517300000000026,3.52307480966374e-08,3.0377762983757606e-05
5749,1,4,False,119.93687533333329,1.0698333333333334,50.80630876475153,99.99999999999999,50.80630876475154,1.0698333333333332,51.09436005369031,100.00000000000202,51.09436005368928,1.069833333333355,0.0,2.1538326677728037e-14
