k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
493,1,4,False,40.52547549400293,0.40960103148511795,54.27540419222167,100.00000000000013,54.2754041922216,0.40960103148511845,54.479726818287375,99.99999999999933,54.479726818287745,0.40960103148511523,4.996003610813204e-16,0.0
1549,1,4,False,89.64614925169802,0.12855074746429107,94.74262402062936,99.99999999999983,94.74262402062953,0.12855074746429085,94.75012706947932,100.0000000000017,94.75012706947771,0.12855074746429326,0.0,2.192690473634684e-15
2173,3,2,False,4888.19060715,8.2365,74.51141603986134,99.99999999999997,74.51141603986137,8.236499999999998,74.58479600848666,100.00000000000092,74.58479600848598,8.236500000000076,3.036702016512294e-07,0.00015680927066830108
2698,1,4,False,4626.450273346892,7.828347069109261,99.99998624677089,100.0000000000007,99.99998624677019,7.8283470691093155,99.97880807252824,99.99999999999994,99.9788080725283,7.828347069109256,5.417888360170764e-14,0.0
3229,2,3,False,332.3747582906425,6.80169961597535,99.99999880669708,99.99999999999969,99.99999880669739,6.801699615975329,99.99986434794374,100.00000000000064,99.9998643479431,6.8016996159753935,8.653064487162965e-08,9.836618170666611e-06
3926,1,4,False,145.3223419899999,1.1668999999999992,47.722554985030655,99.99999999999996,47.722554985030676,1.1668999999999987,48.090409833050664,100.00000000000007,48.09040983305063,1.1669,0.0,8.881784197001252e-16
5027,1,4,False,19.44075370666652,0.17236666666666522,50.49302271860395,100.0,50.49302271860395,0.17236666666666522,50.78096632575129,100.00000000000033,50.78096632575112,0.17236666666666578,0.0,5.551115123125783e-16
