k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
206,1,4,aggregate,94.5457638251114,78.18305530044557,100.0,3,4,99.9969482957681,7.491027069149062,92.14987692209908
206,1,4,matrix,84.70121454389978,38.80485817559916,100.0,3,4,90.9632636159832,7.491027069149081,85.76260136830203
681,1,4,aggregate,93.74999937001458,74.99999748005834,100.0,3,4,59.122104748809356,4.359885679860228,89.42867472341193
681,1,4,matrix,93.7499649725864,74.99985989034558,100.0,3,4,59.12207049982989,4.359885679860227,89.4286369906071
1883,1,4,aggregate,75.23034484632399,71.19847933351613,76.5744594208948,0,4,99.17553030334527,3.6302503185218873,75.15546695921499
1883,1,4,matrix,73.81180050057222,10.764902468487513,100.0,2,4,97.3526063209655,3.6302503185218855,97.60057807512992
2266,1,4,aggregate,93.75013576775493,75.00054307101973,100.0,3,4,69.85890266627386,1.4864999999999966,85.78031450031368
2266,1,4,matrix,93.74816785614175,74.992671424567,100.0,3,4,69.85161104277537,1.4865000000000015,85.77784520676396
2920,1,4,aggregate,93.38075113161416,73.52300452645665,100.0,3,4,54.37016879743748,2.291303312277573,83.44593727445522
2920,1,4,matrix,97.24487123782397,88.9794849512959,100.0,3,4,54.36929309539925,2.291303312277609,93.10984794792532
3399,1,4,aggregate,94.71041432300571,78.84165729202284,100.0,3,4,99.99584829136982,5.672970299473264,91.65984283564089
3399,1,4,matrix,82.10270519163483,28.41082076653933,100.0,3,4,81.79952795439173,5.672970299473268,88.24426355863751
4186,1,4,aggregate,93.75000141193475,75.00000564773896,100.0,3,4,47.72320277536966,2.600133333333334,86.90371278459524
4186,1,4,matrix,93.74989462007946,74.9995784803178,100.0,3,4,47.72301917807264,2.600133333333334,86.90357661527025
5580,1,4,aggregate,93.75043065432283,75.0017226172913,100.0,3,4,91.94282441135682,2.4607999999999968,87.70247639733306
5580,1,4,matrix,93.74485305875618,74.97941223502471,100.0,3,4,91.92685533344131,2.460799999999997,87.69598963888653
