k,J,I,mejor,peor,volumen,ancho_pct,ef_ciego
55,1,4,636.115216056812,600.605303016812,0.9786773779512614,5.582308384339701,96.52282294653048
200,4,1,173.75747400000006,173.75747400000006,0.2529000000000001,0.0,100.00000000000001
227,4,1,270.3579573333335,270.3579573333335,0.3938666666666669,0.0,100.0
328,4,1,533.1552566666668,533.1552566666668,0.7835333333333335,0.0,100.0
347,4,1,107.29659733333347,107.29659733333347,0.15756666666666685,0.0,100.0
392,4,1,490.8755540000002,490.8755540000002,0.7204666666666669,0.0,100.0
416,4,1,3395.1355006666677,3395.1355006666677,4.9306333333333345,0.0,100.00000000000001
422,4,1,2301.918043,2301.918043,3.3749000000000002,0.0,100.00000000000001
443,4,1,6788.048439333334,6788.048439333334,9.971133333333334,0.0,100.00000000000001
463,2,3,2003.2257143302836,1933.8304853702834,3.133481290748199,3.4641742297722207,98.33809130034878
491,4,1,4708.3371179999995,4708.3371179999995,6.916599999999999,0.0,100.0
587,2,3,2717.8395400269333,2478.761931733642,3.9635407680024106,8.796604978781124,96.81520252121278
613,4,1,4979.339274000001,4979.339274000001,7.244466666666667,0.0,99.99999999999999
638,4,1,1188.9853066666662,1188.9853066666662,1.7306666666666661,0.0,100.00000000000001
686,3,2,3687.510579656622,3594.0689748032887,5.5095033313261945,2.534002352937919,98.55269454105563
688,1,4,895.0092122337995,833.2773746774768,1.3407373413733796,6.8973410231443255,96.18912974492598
758,4,1,3474.681298666666,3474.681298666666,5.182533333333333,0.0,100.00000000000001
802,2,3,2305.8363653392134,2146.685298861547,3.456559632642093,6.902097168298136,96.86008776688377
803,2,3,4501.5537978316515,4365.567201836986,6.748045687735766,3.0208812801519507,98.12777241112953
872,3,2,548.6817677599997,548.6817677599997,0.8285666666666665,0.0,100.00000000000003
946,3,2,7129.11270882733,6968.412732187331,10.70678487471252,2.2541371304316518,98.38341693438882
951,4,1,5549.325448333333,5549.325448333333,8.384566666666668,0.0,100.00000000000001
968,3,2,3593.598559199999,3593.598559199999,5.559999999999999,0.0,99.99999999999999
998,4,1,3967.050566,3967.050566,6.128233333333334,0.0,100.0
1110,1,4,29.76307743865198,27.70766088129156,0.044641044874388025,6.905927525797928,94.9792721409131
1120,2,3,2460.072647303299,2325.6337167379656,3.7219127151055256,5.464835793069111,97.13585740277664
1188,4,1,4995.621665999998,4995.621665999998,7.523299999999998,0.0,100.00000000000001
1259,3,2,2163.4126092878764,2023.61317590121,3.249294257052127,6.4619866218069095,97.93929212208542
1351,1,4,656.7700568662231,611.4635993303733,0.9839988866075707,6.898374410068177,96.71952345146192
1448,2,3,1464.234867209597,1464.234867209597,2.1762080297480924,0.0,100.0
1503,3,2,1002.1082496233342,1002.1082496233342,1.4741000000000013,0.0,100.0
1689,4,1,480.74382503333385,480.74382503333385,0.7463333333333342,0.0,100.00000000000001
1768,3,2,854.977377183334,854.977377183334,1.3212333333333344,0.0,100.00000000000001
1831,1,4,611.4238158051907,575.1441184818574,0.8906180385357594,5.933641507823201,95.20913296098445
1976,2,3,1909.2499060630112,1909.2499060630112,2.9447332589966653,0.0,100.0
2073,4,1,8.91253766666677,8.91253766666677,0.012766666666666815,0.0,100.0
2074,4,1,17.080424666666644,17.080424666666644,0.024466666666666637,0.0,100.0
2096,4,1,255.6275973333333,255.6275973333333,0.3671333333333333,0.0,99.99999999999999
2120,3,2,211.0558942733339,24.00146098000006,0.3331333333333343,88.62791249557982,48.88956107104379
2266,3,2,2888.9781970691856,1676.0670270691858,4.83123607007199,41.98408874218835,84.77925524533228
2407,3,2,250.14543097333336,250.14543097333336,0.37970000000000004,0.0,100.0
2464,2,3,2337.3179955494934,2072.395373159906,3.555067627092753,11.334470657994716,94.85852238493317
2488,3,2,1099.824007771107,1074.974982801107,1.8726185317616684,2.259363752238767,99.56036346275438
2579,4,1,35.24148000000005,35.24148000000005,0.04966666666666675,0.0,100.0
2601,3,2,1677.870273019532,177.6984649545929,2.826033848362857,89.40928462634939,60.604143700555056
2625,2,3,615.3716427259808,540.8097303626474,0.9283982797519386,12.116566183166661,90.34530408572685
2626,4,1,262.7161140999998,28.358474099999974,0.4509999999999996,89.20565866423952,93.5217472305066
2816,4,1,563.596474686,59.82694848599999,0.95146,89.38479015161836,61.428429937783456
2825,1,4,36.928895429999976,36.928895429999976,0.5872999999999997,0.0,100.00000000000003
2866,3,2,146.93282520333344,96.42714478288092,2.179116666666667,34.373313349525596,85.61505744143373
2868,4,1,475.50669414666663,29.463430406666664,0.7643666666666666,93.80378220341544,37.295679010350206
2914,3,2,1554.630750717949,138.52314066649575,2.437923931623932,91.0896435952702,70.47592447157317
2935,1,4,626.9433191941858,594.5760260075192,0.9520034283873045,5.162714426603752,95.88111178661019
2962,4,1,3468.679829999999,1417.4092601199995,4.907166666666665,59.13692443271711,89.16451002393934
3008,4,1,340.02886,61.37450535999999,0.47720000000000007,81.95020700301734,78.84647600795803
3016,3,2,906.9125503333332,594.7713950533333,1.8807333333333331,34.41799930602717,77.20725335922866
3104,2,3,2840.6709786099714,2699.593291646802,4.077726650258583,4.96635083842773,97.07915718450039
3136,2,3,86.11230480093087,73.79798407329275,0.13672309162937757,14.300303256434267,91.45346727431752
3203,3,2,2905.5234462266667,2905.5234462266667,5.0818,0.0,99.99999999999997
3278,4,1,25.807438862068963,5.51516670873563,0.04288160919540229,78.62954654969012,75.343395070912
3279,4,1,73.2034480000001,16.153893280000016,0.12560000000000016,77.93287922721892,79.9007218191467
3421,4,1,41.53910600000007,8.432778153333345,0.06556666666666677,79.69918237206807,76.16492972547492
3425,1,4,228.1224951924097,190.52882291226211,0.4173939605379473,16.479598931459712,86.8109612961326
3496,3,2,2313.840350226667,2313.8403502266674,5.138833333333334,-1.9653359007328074e-14,100.00000000000001
3710,1,4,151.62695800000006,128.7595748133334,0.2634333333333334,15.081344035581496,90.8906914739543
3760,4,1,179.28794100000007,65.51066583666669,0.5260333333333335,63.460640201860166,85.16021067980166
3776,2,3,1998.6378386133347,1998.6378386133347,2.982400000000002,0.0,100.0
3801,1,4,1251.896191,1096.2805089600001,1.7927,12.430398235791095,91.69746392851273
3851,2,3,4443.330688346668,4443.330688346668,6.911766666666667,0.0,100.00000000000003
3971,3,2,8210.9303047363,8210.9303047363,13.074692592592596,0.0,100.0
3992,2,3,1224.6737440000006,1034.4575092400003,2.1913000000000005,15.531992556541677,92.94291654148104
3994,4,1,1630.4765120000002,363.32453554,2.9173999999999998,77.71666547380477,87.83423650763434
4020,4,1,3139.0133172413794,1732.5556433880463,6.2269655172413785,44.805724975048946,83.86458784431842
4089,4,1,113.33498800000015,26.551309720000038,0.21320000000000028,76.57271581481969,77.4287345036417
4092,4,1,83.76348500000007,19.697617983333352,0.1581666666666668,76.48424252723804,79.60811502986967
4111,1,4,793.3941104266667,780.47460316,1.6716999999999997,1.6283845691416676,98.73747462880964
4116,4,1,2156.1591120000007,484.9765260566668,3.894233333333334,77.5073869383037,86.03704719806498
4167,3,2,533.0600332400004,533.0600332400003,1.8895666666666677,2.1327210939190903e-14,99.99999999999997
4189,4,1,2724.032988000001,1738.5563831666673,5.5158000000000005,36.17711713384483,90.16155141238393
4256,4,1,174.6799656666668,54.792172763333376,0.43996666666666695,68.63282371609198,77.11391533001334
4351,2,3,197.3524914533333,197.3524914533333,0.44786666666666664,0.0,100.0
4354,3,2,1721.0513504593332,1721.0513504593334,3.9145933333333334,-1.3211324309559274e-14,100.00000000000001
4377,2,3,288.4338980566666,288.4338980566666,0.5972333333333331,0.0,99.99999999999997
4382,2,3,868.9627871766663,868.9627871766663,1.888433333333333,0.0,100.00000000000003
4398,1,4,231.90244,199.41746696666667,0.43633333333333335,14.008034168736362,88.32542958235874
4429,4,1,363.66078666666675,73.83802026666675,0.6546666666666668,79.6959081171578,61.550497670854334
4480,3,2,1896.9103270573335,1852.1445948526666,4.359813333333333,2.35992875183044,99.45089911057435
4524,1,4,622.4756856666667,540.6130572899999,1.0995666666666666,13.15113670488069,90.63560382166582
4567,1,4,645.3680692628964,645.3680692628964,1.2812910344827582,0.0,100.0
4691,4,1,1075.979439666667,176.69618709333355,1.5666333333333338,83.57810748241872,67.78223005615996
4693,3,2,1540.3725911336664,1211.9002500656202,2.322936666666666,21.32421356746557,93.1984746659878
4713,4,1,2351.2296499999998,389.15343573333365,3.450333333333333,83.44893976080414,76.52928859466112
4735,4,1,167.26864933333334,27.52759594666669,0.24406666666666665,83.54288382408731,86.13355120911038
4810,4,1,1941.5509153333335,321.451039146667,2.8500666666666667,83.44359467433904,71.38786010878879
4811,4,1,531.1096156666664,87.93266069333336,0.779633333333333,83.44359467433905,69.85689093595515
4814,3,2,154.59758921023052,14.568565946781707,0.24633793103448376,90.57645981337356,74.28882454207549
4815,4,1,2554.3569416666664,636.6291967689513,3.751166666666666,75.07673315407659,69.4062207245525
4857,3,2,4399.069475241002,3657.2506427076687,6.431110000000003,16.86308517536411,88.25426668448652
4927,3,2,533.53688358,59.21647710000005,0.8391,88.90114649569097,62.01857424504484
4978,4,1,4042.5635046666666,1195.6161427586662,5.894066666666666,70.4243077102322,70.34716917194054
4982,4,1,3720.273098666667,2106.825336602666,5.529866666666667,43.36906778812166,83.11922160940367
4983,4,1,4535.478816,1614.1025849760001,6.7416,64.41163876056785,70.03550297014971
5024,4,1,3277.5893422666663,2514.2215221706656,5.344366666666666,23.29052667617238,83.7999527483456
5047,4,1,259.23394499333307,204.06074391333314,0.42326666666666624,21.283169949606275,97.74938630895988
5168,1,4,859.0430216666666,768.2138442,1.2352333333333334,10.573297864691918,93.51603393113737
5217,4,1,6785.4167143333325,6785.4167143333325,9.757433333333333,0.0,100.00000000000001
5318,2,3,937.763784,810.3230237333335,1.7331333333333334,13.589857322392238,92.48902632231831
5320,2,3,231.59090500000008,199.52359980000008,0.43610000000000015,13.846530458525555,90.3799530945886
5360,4,1,379.73340203999976,379.73340203999976,0.6493966666666662,0.0,100.0
5430,1,4,75.368422,64.72343946666668,0.14476666666666665,14.123929161384485,88.03954051617697
5551,2,3,2354.697263733334,2282.5721760000006,3.6803333333333335,3.0630301756489944,99.29796813343529
5556,4,1,3701.5932906666667,3701.5932906666667,5.986533333333334,0.0,100.0
5651,4,1,1943.2759850000002,1943.2759850000002,2.843166666666667,0.0,100.0
5680,1,4,7.268491266666793,6.268946280000109,0.013593333333333568,13.75175328682837,91.95280630161064
5726,3,2,2196.8888326666665,2088.5394306666667,3.500683333333334,4.931947415312829,97.95533087190171
6035,4,1,2153.539185126858,2153.539185126858,3.6803085714285713,0.0,100.0
6059,4,1,2183.4232907268574,2183.4232907268574,3.6803085714285717,0.0,100.00000000000003
6062,4,1,2313.7600199999997,2313.7600199999997,3.9,0.0,100.0
6103,2,3,2264.1255476729557,2264.1255476729557,4.5183861246219,0.0,99.99999999999997
6105,3,2,1411.3176164745555,1411.3176164745555,2.7594092357330107,0.0,99.99999999999999
