hora,vendedor,comprador,kWh,precio,prima_vendedor,ahorro_comprador,en_piso,en_techo
8,Udenar,Mariana,0.020698285830045213,293.44,0.0,10.44228520125781,True,False
8,HUDN,Mariana,0.13997630594825494,293.44,0.0,70.61804635089463,True,False
8,Udenar,UCC,0.017228852229247405,430.892151110679,2.368142800078073,6.323813149577244,False,False
8,HUDN,UCC,0.11651356593384725,430.892151110679,16.01504027118323,42.766053742442715,False,False
8,Udenar,Cesmag,0.016084816461449297,797.94,8.114789904801171,0.0,False,True
8,HUDN,Cesmag,0.10877679478456065,797.94,54.877892968810855,0.0,False,True
9,Udenar,UCC,0.06635735698863961,797.94,33.477286600768686,0.0,False,True
9,Mariana,UCC,0.06636118249885467,797.94,33.479216570672186,0.0,False,True
9,HUDN,UCC,0.06635851795757536,797.94,33.47787230959677,0.0,False,True
9,Udenar,Cesmag,0.7285671756973008,293.44,0.0,367.56214013928826,True,False
9,Mariana,Cesmag,0.7286091776916979,293.44,0.0,367.5833301454616,True,False
9,HUDN,Cesmag,0.7285799224992543,293.44,0.0,367.56857090087385,True,False
10,Udenar,Cesmag,1.5249288994213328,233.44,0.0,860.8223637233424,True,False
10,Mariana,Cesmag,1.52485281245396,233.44,0.0,860.7794126302604,True,False
10,UCC,Cesmag,0.4353395112067799,233.44,0.0,245.74915407622726,True,False
10,HUDN,Cesmag,1.524912110251205,233.44,0.0,860.8128862368053,True,False
11,Udenar,Cesmag,1.4810003005576142,293.44,0.0,747.1646516313165,True,False
11,Mariana,Cesmag,1.4809529586077725,293.44,0.0,747.1407676176213,True,False
11,UCC,Cesmag,1.2922501160895061,293.44,0.0,651.9401835671559,True,False
11,HUDN,Cesmag,1.4809632914118525,293.44,0.0,747.1459805172797,True,False
12,Udenar,UCC,0.374236297560642,797.94,188.8022121193439,0.0,False,True
12,Mariana,UCC,0.02204938831440362,797.94,11.123916404616628,0.0,False,True
12,HUDN,UCC,0.3742490929658288,797.94,188.80866740126066,0.0,False,True
12,Udenar,Cesmag,1.4359559857373023,293.44,0.0,724.4397948044691,True,False
12,Mariana,Cesmag,0.08460415332868503,293.44,0.0,42.6827953543216,True,False
12,HUDN,Cesmag,1.4360050820931063,293.44,0.0,724.4645639159722,True,False
13,Udenar,Cesmag,0.8542466123395291,293.44,0.0,430.9674159252925,True,False
13,Mariana,Cesmag,0.854245273364129,293.44,0.0,430.96674041220314,True,False
13,UCC,Cesmag,0.854242408323444,293.44,0.0,430.96529499917756,True,False
13,HUDN,Cesmag,0.8542323726395639,293.44,0.0,430.96023199666,True,False
14,Udenar,Cesmag,1.0720781853416277,293.44,0.0,540.8634445048513,True,False
14,Mariana,Cesmag,1.0720756302860959,293.44,0.0,540.8621554793355,True,False
14,UCC,Cesmag,1.0720549420320213,293.44,0.0,540.8517182551549,True,False
